"shouldcensor","treat","porn","violence","ads","chat","games","spam","rumors","false","uncivil"
0.888888888888889,1,5,5,5,1,4,5,5,5,5
0.711111111111111,1,5,5,2,1,3,4,5,5,2
0.8,0,5,5,2,2,2,5,5,5,5
0.733333333333333,0,5,5,4,2,3,4,4,4,2
0.733333333333333,1,2,5,4,1,2,5,5,5,4
0.622222222222222,0,4,5,3,2,1,4,1,4,4
0.666666666666667,1,3,3,3,2,3,4,4,4,4
0.755555555555556,0,4,4,4,1,3,5,5,5,3
0.555555555555556,0,1,1,5,1,1,5,5,5,1
0.866666666666667,1,5,5,4,3,3,5,5,5,4
0.666666666666667,1,3,4,2,2,3,4,4,5,3
0.755555555555556,1,5,5,3,2,2,4,4,5,4
0.733333333333333,0,5,5,4,3,3,2,3,4,4
