original_short,redirected,valid_url,domain,subdomain,suffix
https://t.co/5s5Zg21ndY,https://twitter.com/Glasgow_Times/status/1164896357087416320,Yes,twitter,,com
https://t.co/yLUF,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/7jeH0j1lsi,https://www.theguardian.com/books/2020/feb/22/hilary-mantel-ive-got-quite-amused-at-people-saying-i-have-writers-block-ive-been-like-a-factory?CMP=Share_iOSApp_Other,Yes,theguardian,www,com
https://t.co/fU0m6mpNa8,https://twitter.com/scvotweet/status/1097866086450647042,Yes,twitter,,com
https://t.co/vfamGhXGR5,https://www.ft.com/content/28578082-9831-11e9-8cfb-30c211dcd229,Yes,ft,www,com
https://t.co/5I6erUzMzr,https://twitter.com/NicolaSturgeon/status/1147969713869398016/photo/1,Yes,twitter,,com
https://t.co/WTzdbfBlL3,https://twitter.com/hamishh1931/status/1167067132305301504,Yes,twitter,,com
https://t.co/y7PkndPPxQ,https://www.bbc.co.uk/news/world-latin-america-49452789,Yes,bbc,www,co.uk
https://t.co/uG4AWJiyHa,https://twitter.com/NicolaSturgeon/status/1117048947384758273/photo/1,Yes,twitter,,com
https://t.co/80eyrWzdlf,https://twitter.com/ScotGovEdu/status/1100331047269683200/photo/1,Yes,twitter,,com
https://t.co/YnBvjWNqh5,https://twitter.com/scotlandteam/status/1226213473660604417,Yes,twitter,,com
https://t.co/vkFDnBDFR9,https://twitter.com/bythespey/status/1104014291345334272,Yes,twitter,,com
https://t.co/yzg1LHTqpt,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/oTgqx52khU,https://www.bbc.co.uk/news/uk-scotland-scotland-business-49299585,Yes,bbc,www,co.uk
https://t.co/wGEuquBA5M,https://twitter.com/ZenGhani/status/1142468933896810504/photo/1,Yes,twitter,,com
https://t.co/WdXwttOXOr,https://twitter.com/political_alans/status/1122824745941118976,Yes,twitter,,com
https://t.co/8eDQdpg6A6,https://twitter.com/NicolaSturgeon/status/1165957923664797697/photo/1,Yes,twitter,,com
https://t.co/qOReYYIDjj,https://twitter.com/scotlandnt/status/1137468115808346112,Yes,twitter,,com
https://t.co/0J8RiJ5mro,https://twitter.com/JamesMelville/status/1223342327445499904/photo/1,Yes,twitter,,com
https://t.co/MvezNfyL2D,https://twitter.com/edinburghpaper/status/1129275865131573248,Yes,twitter,,com
https://t.co/Q3y46EV1aV,https://twitter.com/keithbrownsnp/status/1126794725548265472,Yes,twitter,,com
https://t.co/FpokljFimi,https://twitter.com/NicolaSturgeon/status/1139611548845035521/photo/1,Yes,twitter,,com
https://t.co/eSC2Z5t0eK,https://twitter.com/tonigiugliano/status/1214279300070944768,Yes,twitter,,com
https://t.co/R2t8xdpPez,https://twitter.com/thesnp/status/1205304491718905856,Yes,twitter,,com
https://t.co/Ne5sOZy,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/RK2bmXQaxh,https://twitter.com/whocaresscot/status/1230858846727528450,Yes,twitter,,com
https://t.co/1zMSpxBcEk,https://twitter.com/tnewtondunn/status/1171726506772631553,Yes,twitter,,com
https://t.co/UA0x05s7lT,https://twitter.com/scottishhockey/status/1158032308357799937,Yes,twitter,,com
https://t.co/6I0vrbCtsh,https://twitter.com/petermacmahon/status/1099288048846753792,Yes,twitter,,com
https://t.co/mzLIVyRx1G,https://twitter.com/NicolaSturgeon/status/1196158740287897602/photo/1,Yes,twitter,,com
https://t.co/RAHgQBGeaH,https://twitter.com/theSNP/status/1205334824296296448/video/1,Yes,twitter,,com
https://t.co/PW,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/cMy2WS42A2,https://twitter.com/amcarwyn/status/1217072683160080387,Yes,twitter,,com
https://t.co/gp7Wo83jmV,https://twitter.com/theSNP/status/1205339585137565697/video/1,Yes,twitter,,com
https://t.co/nLxj88D3qX,https://twitter.com/scotlibdems/status/1171078384367165440,Yes,twitter,,com
https://t.co/QeZwgewmPW,https://twitter.com/bbclaurak/status/1138731544196108289,Yes,twitter,,com
https://t.co/ZAkuL7ttVF,https://twitter.com/NicolaSturgeon/status/1177950176637575168/photo/1,Yes,twitter,,com
https://t.co/4wRvQvxrOB,https://twitter.com/jackmiddleton95/status/1199404316337029120,Yes,twitter,,com
https://t.co/Btshy0dyOq,https://twitter.com/thistlejohn/status/1146121941864144896,Yes,twitter,,com
https://t.co/nKYryQ9UKX,https://twitter.com/nickeardleybbc/status/1205552300531552256,Yes,twitter,,com
https://t.co/SsSEg0TB6N,https://twitter.com/heraldscotland/status/1196557861452693505,Yes,twitter,,com
https://t.co/hPnNw5kc7a,https://twitter.com/NicolaSturgeon/status/1176434525439741953/photo/1,Yes,twitter,,com
https://t.co/n1BW9094YP,https://twitter.com/paulbranditv/status/1176082719975116800,Yes,twitter,,com
https://t.co/vxtagVfp9g,https://twitter.com/soniasodha/status/1175519673628143617,Yes,twitter,,com
https://t.co/iGoAgjJlNR,https://twitter.com/scotgov/status/1187647131206729728,Yes,twitter,,com
https://t.co/WRX8KcF5at,https://twitter.com/whocaresscot/status/1185511226929041408,Yes,twitter,,com
https://t.co/CsBZyQtL7Y,https://twitter.com/bethrigby/status/1142774910001061899,Yes,twitter,,com
https://t.co/7SNPIWM7cW,https://twitter.com/lisaocarroll/status/1184870110055534593,Yes,twitter,,com
https://t.co/VpOv55LVEe,https://twitter.com/carerpositive/status/1141010076053979137,Yes,twitter,,com
https://t.co/MqahFkyUqZ,https://twitter.com/youngscot/status/1138763765472776193,Yes,twitter,,com
https://t.co/KU58GGqmWf,https://twitter.com/nickeardleybbc/status/1110809698914258944,Yes,twitter,,com
https://t.co/VAIUbYsZrN,https://twitter.com/fionahyslop/status/1161552062175428610,Yes,twitter,,com
https://t.co/Zi083Gb5d4,https://twitter.com/theSNP/status/1205336270043516929/video/1,Yes,twitter,,com
https://t.co/ZHbZ2hTdLv,https://twitter.com/scottishbktrust/status/1182215998394511360,Yes,twitter,,com
https://t.co/mnCCyNzNjQ,https://twitter.com/erincuthbert_/status/1137627776650022913,Yes,twitter,,com
https://t.co/jCMpd4mEMJ,https://twitter.com/nicolasturgeon/status/1111574388959256576,Yes,twitter,,com
https://t.co/Fj1UGrxAUN,https://twitter.com/NicolaSturgeon/status/1198543152535261184/photo/1,Yes,twitter,,com
https://t.co/nHHQ60,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/oRYraT4PTm,https://twitter.com/NicolaSturgeon/status/1203337537131106309/photo/1,Yes,twitter,,com
https://t.co/t9rngeV6W1,https://twitter.com/theSNP/status/1194666461027094529/video/1,Yes,twitter,,com
https://t.co/uLPfK4O5yB,https://twitter.com/scotgovedu/status/1159754125220950016,Yes,twitter,,com
https://t.co/jnYMkxeHCt,https://twitter.com/stowprimary/status/1140306994940796928,Yes,twitter,,com
https://t.co/zkqueJBG0g,https://twitter.com/tomeden11/status/1191355266698272768,Yes,twitter,,com
https://t.co/Jr22l5qpQe,https://twitter.com/NicolaSturgeon/status/1155108077869252608/photo/1,Yes,twitter,,com
https://t.co/sZJrz0u4Nx,https://twitter.com/holyroodmandy/status/1106266467891335169/photo/1,Yes,twitter,,com
https://t.co/VpTau7HaTI,https://twitter.com/lewis_goodall/status/1115900710879727616,Yes,twitter,,com
https://t.co/BRLlOjgikY,https://www.thenational.scot/news/17615294.david-pratt-westminster-is-a-lesson-in-how-not-to-do-high-office/?ref=twtrec,Yes,thenational,www,scot
https://t.co/BFpun74wmi,https://twitter.com/thebookerprizes/status/1183865784969379842,Yes,twitter,,com
https://t.co/oOAs2jBw5x,https://twitter.com/nickeardleybbc/status/1181197903123091456,Yes,twitter,,com
https://t.co/LuDQKBaZQU,https://twitter.com/mcgregor_robbie/status/1113313286852939776,Yes,twitter,,com
https://t.co/jjaeFzM9ar,https://twitter.com/bbchughpym/status/1172070630994403328,Yes,twitter,,com
https://t.co/Lj83xby8zA,https://twitter.com/ballotboxscot/status/1195313292367028229,Yes,twitter,,com
https://t.co/mFJhWKAj0R,https://twitter.com/NicolaSturgeon/status/1114551675681898501/photo/1,Yes,twitter,,com
https://t.co/N9mt0r2kjT,https://twitter.com/kirstystricklan/status/1104682779038674944,Yes,twitter,,com
https://t.co/LmYNl17rbq,https://twitter.com/ipsosmoriscot/status/1103964514259779584,Yes,twitter,,com
https://t.co/3vHpDkJgR3,https://twitter.com/theSNP/status/1205358366727589888/video/1,Yes,twitter,,com
https://t.co/lqZFqMLDkP,https://twitter.com/bbcalba/status/1157736167909072898/video/1,Yes,twitter,,com
https://t.co/kVyjzksnff,https://www.thenational.scot/news/17471110.why-the-scottish-publishing-industrys-success-could-be-a-beacon-of-hope/?ref=twtrec,Yes,thenational,www,scot
https://t.co/0iHdc4nNJU,https://twitter.com/sundaytimessco/status/1130007151877984256,Yes,twitter,,com
https://t.co/AVnsE3BZMW,https://twitter.com/NicolaSturgeon/status/1208400700557942787/photo/1,Yes,twitter,,com
https://t.co/3r3lao7T1t,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/kc5m7LtroI,https://twitter.com/lukemcgee/status/1182633313204363266/photo/1,Yes,twitter,,com
https://t.co/8Ozo4odiIb,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/Oyl0dCNgiR,https://twitter.com/scotgovfm/status/1178385504737398785,Yes,twitter,,com
https://t.co/w5e2wHa6BJ,https://twitter.com/glennbbc/status/1100087556182556673,Yes,twitter,,com
https://t.co/WdU2gyN27G,https://twitter.com/Dr_PhilippaW/status/1184980036488781824/video/1,Yes,twitter,,com
https://t.co/7,https://twitter.com/iok,Yes,twitter,,com
https://t.co/lluTKMmMq8,https://twitter.com/christopherhope/status/1103390796949188612,Yes,twitter,,com
https://t.co/SsJapuQXra,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/UPzf2NBpxB,https://twitter.com/skynewsbreak/status/1105473614764302337,Yes,twitter,,com
