text,retweet_count,hashtags,user_mentions
A pleasure to meet the French Ambassador @AmbColonna in Edinburgh earlier today 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇫🇷 https://t.co/vfbY6k7gNz,239,[],['AmbColonna']
"That’s because the Tory immigration policy can’t be justified - it would have a devastating impact on Scotland &amp; the opposition to it from all sectors tells its own story. It’s an acid test for @ScotTories now - will they stand up for Scotland or, as usual, side with Westminster? https://t.co/kf70CSw8hJ",884,[],['ScotTories']
Always a joy to see this wee one - and you @amybethmiah95 and @whocaresscot https://t.co/UH1w2aYvCT,79,[],"['amybethmiah95', 'whocaresscot']"
"RT @ThirdForceNews: Tory immigration plans are ""offensive and disastrous"" and a grave threat to Scotland's prosperity @NicolaSturgeon tells…",107,[],"['ThirdForceNews', 'NicolaSturgeon']"
"RT @scotfoodjames: Hugely worrying. Scotland’s food &amp; drink sector has over 40,000 jobs to fill in the next 10 years. This policy fundament…",442,[],['scotfoodjames']
RT @scvotweet: Thank you @ScotGovFM for officially opening #scvogathering this morning - &amp; for your donation to @SimonCommScot! We’re encou…,34,['scvogathering'],"['scvotweet', 'ScotGovFM', 'SimonCommScot']"
RT @DrakeMusicScot: Lovely start to ⁦@scvotweet⁩ #scvogathering with ⁦@NicolaSturgeon⁩ ⁦@ScotGovFM⁩  saying hello to our #DigitalOrchestra…,16,"['scvogathering', 'DigitalOrchestra']","['DrakeMusicScot', 'scvotweet', 'NicolaSturgeon', 'ScotGovFM']"
"RT @libby_brooks: “This has shut the door on Scotland’s ability to look after people in their own homes” says Donald Macaskill, head of Sco…",191,[],['libby_brooks']
"Tory immigration policy is offensive in principle - it labels vital workers, making a big contribution as ‘low skilled’ &amp; slams the door in their faces. And it is disastrous in practice - it will badly damage our economy. We must get powers to create policy for our needs &amp; values",2380,[],[]
Heading to @scvotweet The Gathering 2020 - a fantastic celebration of the work of third sector organisations across Scotland. #scvogathering https://t.co/W0qiE5XRQw,92,['scvogathering'],['scvotweet']
RT @MCrothall: This is v bad news for the U.K. tourism &amp; hospitality sector as a whole especially for those that operate in Scotland- 1 of…,230,[],['MCrothall']
"RT @KatyPBow: Let’s speak about so called ‘lower skilled’ migration - UKG is placing a lower value on our carers, hospitality workers, agri…",297,[],['KatyPBow']
It is impossible to overstate how devastating this UK gov policy will be for Scotland’s economy. Our demographics mean we need to keep attracting people here - this makes it so much harder. Getting power over migration in @ScotParl is now a necessity for our future prosperity. https://t.co/HjWKIhSVtN,1889,[],['ScotParl']
In this day and age - and with all the available evidence about the importance of diversity in decision making - having a ‘Shadow Cabinet’ that is 75% male is shockingly poor. https://t.co/VyDUU2bSwE,645,[],[]
"RT @StafScot: 💜We are so proud of Shannon, &amp; overwhelmed by the enthusiasm &amp; love for Shannon's box!You can now listen to our podcast wit…",18,[],['StafScot']
"Hard to imagine @ScotParl without @RHBruceCrawford - his counsel and friendship to me have been invaluable over many years. He has been an outstanding minister, committee chair and constituency champion. He’ll be much missed. https://t.co/t9XopUau8S",115,[],"['ScotParl', 'RHBruceCrawford']"
"Further to my last tweet, this is also a great initiative, this time for young people leaving care. https://t.co/kbGdv3J0o9",146,[],[]
RT @StafScot: This evening Shannon and some young people from East Ayrshire who received one of her boxes shared with First Minister  how S…,78,[],['StafScot']
This is a great initiative. Going into care is a vulnerable time for any young person - Shannon’s Box provides some home comforts and hopefully reduces the feeling of being alone. Thanks to Shannon and some early recipients for bringing one of the boxes to show me earlier. https://t.co/pzBRyrgyrL,215,[],[]
RT @LewisJWarner: First Minister @NicolaSturgeon is meeting residents and volunteers who’ve had to deal with flooding in Hawick over the we…,246,[],"['LewisJWarner', 'NicolaSturgeon']"
These are really not acceptable headlines for any government to be generating (or allowing to be generated). They need to get a grip fast and demonstrate some basic but fundamental values in the terms of our public debate. https://t.co/GHhO38Z2Ll,1600,[],[]
RT @scotgov: First Minister @NicolaSturgeon has today outlined new appointments to the Scottish Government and cabinet.Find out more: htt…,289,[],"['scotgov', 'NicolaSturgeon']"
‘You don’t have to tear down someone to feel good about yourself. Be kind.’ Maybe all of us should take a few minutes today to listen to this. https://t.co/akLUb1aIh9,1537,[],[]
"‘Get the judges sorted’. Make no mistake, those pulling the strings of this Johnson government are preparing an assault on the checks and balances essential to the health of any democracy. We can’t say we haven’t been warned. https://t.co/kV5T8Nu1YY",3180,[],[]
My interview with @DeccaJourno in today’s @TheSTMagazine https://t.co/S8pSkvRHT2 https://t.co/TuvyVnY53q,186,[],"['DeccaJourno', 'TheSTMagazine']"
"RT @SundayTimesScot: ""I don’t believe that it will always mean plain sailing for Scotland. I just think it’s right to be independent to hav…",315,[],['SundayTimesScot']
RT @scotgov: The Scottish Government Resilience Room has been activated to monitor the impacts of flooding in the Borders. Ministers are be…,124,[],['scotgov']
RT @strathearnrose: Borders hard hit by flooding this evening &amp; understand there are evacuations in #Hawick &amp; #Newcastleton.  SG Resilience…,86,"['Hawick', 'Newcastleton']",['strathearnrose']
"RT @trafficscotland: Weather warnings are place tomorrow, please plan ahead and check your journey times.",47,[],['trafficscotland']
RT @JohnSwinney: Very difficult conditions as a result of today’s rainfall. @scotgov resilience team is operational and supporting local te…,74,[],"['JohnSwinney', 'scotgov']"
"RT @mrjoshz: We need a period of reflection about how we, the public (and the media), treat celebrities who are clearly suffering. We said…",886,[],['mrjoshz']
"RT @SavidgeReads: Such sad, sad, sad news about Caroline Flack. Shows how awful cancel culture is. Tragic news.",53,[],['SavidgeReads']
Congratulations to new @YSINational Convener @CailynMcMahon - and to all the new office bearers. Good luck in the year ahead as we work together to build and win the case for independence. https://t.co/HjgM6EYp2m,96,[],"['YSINational', 'CailynMcMahon']"
RT @parisreview: “Libraries are one of the last non-commercial spaces we have where everyone is welcome. They strike me as a little glimpse…,408,[],['parisreview']
"With #StormDennis still raging outside, this feels like the appropriate book to spend a bit of Saturday night with. For anyone interested to know what it’s about, my next tweet links to an interview with the author. https://t.co/J3roHtaFjz",83,['StormDennis'],[]
"RT @helenlewis: Me on why we need difficult women: ‘Feminism has a particular duty to fight “the tyranny of niceness” – which is, and has a…",1111,[],['helenlewis']
RT @theSNP: 👇 All these people have one thing in common.🏴󠁧󠁢󠁳󠁣󠁴󠁿 They’ve changed from No to Yes. #ChangeMustCome https://t.co/JbjyRFgK2i,2305,['ChangeMustCome'],['theSNP']
"RT @VictoriaLIVE: “The Labour Party in Scotland is now an irrelevance”Selma, a grassroots Labour activist, condemns all four Labour leade…",688,[],['VictoriaLIVE']
RT @bbcquestiontime: “The people of Scotland had been better served by what had been done in their parliament”@valmcdermid says she voted…,704,[],"['bbcquestiontime', 'valmcdermid']"
"RT @PippaCrerar: Overall no of women in Cabinet will stay  same, they said.But 3 SoSs went - Leadsom, Villiers and Morgan - and just 1 (T…",223,[],['PippaCrerar']
"RT @DavidLammy: Who paid for Boris Johnson's £15,000 holiday to Mustique? The businessman Johnson listed in his official declaration as the…",1548,[],['DavidLammy']
RT @FabianZuleeg: Thank you @NicolaSturgeon for a great speech and Q&amp;A at the @epc_eu today. The speech is now online:https://t.co/J3Z0YvM…,338,[],"['FabianZuleeg', 'NicolaSturgeon', 'epc_eu']"
"It’s not a row. It’s a PM playing politics with the biggest issue of our time - he should be called out on it, not indulged. https://t.co/T46ACO9AgH",1103,[],[]
"This is just silly (&amp; contradicts Gove y’day saying 2 govts working well on this). I’ve made crystal clear @scotgov commitment to making #COP26 a success and offered PM additional input from us - he hasn’t yet responded. If he insists on playing politics it will be on him, not me https://t.co/jFii0YjHgk",978,['COP26'],['scotgov']
"RT @TheForthBridges: The Queensferry Crossing will reopen at 10:45 today, with bridge operators and weather forecasters now confident that…",200,[],['TheForthBridges']
RT @FPALondon: Standing room only for our exclusive FPA briefing with Scottish First Minister @NicolaSturgeon https://t.co/tvle2cuFRS,169,[],"['FPALondon', 'NicolaSturgeon']"
RT @deborah_bonetti: Great to welcome First Minister @NicolaSturgeon @FPALondon today for an exclusive on #Indyref2 #postBrexit #Scotland a…,130,"['Indyref2', 'postBrexit', 'Scotland']","['deborah_bonetti', 'NicolaSturgeon', 'FPALondon']"
"Delighted to speak @GreenAllianceUK #CountdowntoCOP conference in London today - talking about Scotland’s net zero ambition, the actions we are taking to meet them and our determination to work with the UK government and others to make a success of #COP26 in Glasgow.",265,"['CountdowntoCOP', 'COP26']",['GreenAllianceUK']
