1458.6776859504134, 2014/9/16
1421.4876033057853, 2014/9/17
1365.7024793388432, 2014/9/18
1278.9256198347111, 2014/9/19
1359.5041322314046, 2014/9/20
1409.0909090909095, 2014/9/21
1340.909090909091, 2014/9/22
1458.6776859504134, 2014/9/23
1390.495867768595, 2014/9/25
1464.8760330578516, 2014/9/26
1433.8842975206612, 2014/9/27
1415.2892561983472, 2014/9/28
1427.685950413223, 2014/9/29
64.04958677685954, 2014/9/30
20.661157024793283, 2014/10/1
26.859504132230995, 2014/10/2
45.45454545454504, 2014/10/3
64.04958677685954, 2014/10/4
95.04132231404947, 2014/10/5
138.42975206611573, 2014/10/6
163.22314049586794, 2014/10/7
262.3966942148759, 2014/10/8
361.5702479338843, 2014/10/9
485.5371900826449, 2014/10/10
497.93388429752076, 2014/10/11
553.7190082644629, 2014/10/12
473.14049586776855, 2014/10/14
510.33057851239664, 2014/10/13
572.314049586777, 2014/10/15
646.6942148760331, 2014/10/16
683.8842975206612, 2014/10/17
702.4793388429748, 2014/10/18
690.0826446280989, 2014/10/19
708.677685950413, 2014/10/20
764.4628099173556, 2014/10/21
776.8595041322315, 2014/10/22
900.8264462809916, 2014/10/23
820.2479338842977, 2014/10/24
845.0413223140499, 2014/10/25
733.4710743801652, 2014/10/26
708.677685950413, 2014/10/27
1421.4876033057853, 2014/9/24
