314.3178557454012, 2014/9/15
313.6983174644565, 2014/9/18
325.69779574800987, 2014/9/19
313.3070301291232, 2014/9/20
313.14399373940114, 2014/9/21
325.1108647450096, 2014/9/22
324.9152210773432, 2014/9/23
349.1098213121154, 2014/9/24
373.3044215468876, 2014/9/25
360.91365592800094, 2014/9/26
336.3277683578958, 2014/9/27
348.3272466414487, 2014/9/28
140.81452980304948, 2014/9/29
140.42324246771614, 2014/10/1
176.8129646537086, 2014/10/2
200.81192122081438, 2014/10/4
200.58367027520308, 2014/10/5
200.38802660753618, 2014/10/6
224.5826268423084, 2014/10/7
236.5821051258613, 2014/10/8
272.9718273118533, 2014/10/9
272.7761836441864, 2014/10/10
272.58053997651996, 2014/10/11
247.99465240641393, 2014/10/12
247.7990087387475, 2014/10/13
271.9936089735197, 2014/10/14
296.1882092082924, 2014/10/15
283.7974435894057, 2014/10/16
307.9920438241779, 2014/10/17
326.2847267510101, 2014/9/16
326.0890830833432, 2014/9/17
128.42376418416416, 2014/9/30
188.81244293726104, 2014/10/3
