unique_id_number,screen_name,description,location,followers_num,friends_num,protection_boolean
356593315,johnmclevey,"Associate Professor at @uWaterloo. Computational social science, social networks, natural language processing, politics of information, environmental sociology.","Waterloo, ON, Canada",485,455,False
379212448,Point_Mutation,"Brewing yeast genetics and snark 🧬 Scientist gone rogue 🔬 Program Manager, @FSPSCanada 🇨🇦 UBC+Dal alumna #FirstGenScholar #WomanInSTEM #scipolicy (she/her)","Vancouver, BC",4405,2579,False
